date;YAVGT_World;YEAR
1950-01-01;1939.0287500000002;1950-01-01
1951-01-01;1950.8629166666667;1951-01-01
1952-01-01;1951.9114583333333;1952-01-01
1953-01-01;1955.9669791666665;1953-01-01
1954-01-01;1930.9198958333334;1954-01-01
1955-01-01;1935.0283333333334;1955-01-01
1956-01-01;1899.9540104166665;1956-01-01
1957-01-01;1943.0166145833334;1957-01-01
1958-01-01;1961.432447916667;1958-01-01
1959-01-01;1947.6711458333332;1959-01-01
1960-01-01;1955.0079687500001;1960-01-01
1961-01-01;1957.063645833333;1961-01-01
1962-01-01;1941.19265625;1962-01-01
1963-01-01;1941.0520833333333;1963-01-01
1964-01-01;1927.8045312499999;1964-01-01
1965-01-01;1918.3374999999999;1965-01-01
1966-01-01;1955.8678125;1966-01-01
1967-01-01;1932.1454166666665;1967-01-01
1968-01-01;1929.248854166667;1968-01-01
1969-01-01;1938.0099479166665;1969-01-01
1970-01-01;1947.6876562500001;1970-01-01
1971-01-01;1930.10515625;1971-01-01
1972-01-01;1936.2166666666665;1972-01-01
1973-01-01;1958.2369791666667;1973-01-01
1974-01-01;1933.5272916666665;1974-01-01
1975-01-01;1949.7497916666669;1975-01-01
1976-01-01;1918.3624479166667;1976-01-01
1977-01-01;1964.1669791666666;1977-01-01
1978-01-01;1939.7955208333333;1978-01-01
1979-01-01;1960.9995312499998;1979-01-01
1980-01-01;1951.7970312500001;1980-01-01
1981-01-01;1962.8781770833332;1981-01-01
1982-01-01;1955.1830208333333;1982-01-01
1983-01-01;1975.3100520833334;1983-01-01
1984-01-01;1946.6805729166665;1984-01-01
1985-01-01;1942.3123437499999;1985-01-01
1986-01-01;1951.4942708333335;1986-01-01
1987-01-01;1967.4480208333334;1987-01-01
1988-01-01;1978.1669270833333;1988-01-01
1989-01-01;1980.05765625;1989-01-01
1990-01-01;2000.5717708333334;1990-01-01
1991-01-01;1973.8309895833333;1991-01-01
1992-01-01;1970.7802604166666;1992-01-01
1993-01-01;1965.688645833333;1993-01-01
1994-01-01;2004.8531770833333;1994-01-01
1995-01-01;2000.7104687499998;1995-01-01
1996-01-01;1974.0472916666668;1996-01-01
1997-01-01;2006.2981770833333;1997-01-01
1998-01-01;2034.9019791666667;1998-01-01
1999-01-01;2025.4103645833331;1999-01-01
2000-01-01;2018.0745833333333;2000-01-01
2001-01-01;2021.3167708333333;2001-01-01
2002-01-01;2033.3428125;2002-01-01
2003-01-01;2027.4409895833332;2003-01-01
2004-01-01;2023.0786458333332;2004-01-01
2005-01-01;2025.78;2005-01-01
2006-01-01;2035.568125;2006-01-01
2007-01-01;2042.6049999999998;2007-01-01
2008-01-01;2029.8485416666665;2008-01-01
2009-01-01;2034.1266666666668;2009-01-01
2010-01-01;2044.841875;2010-01-01
2011-01-01;2028.7619791666666;2011-01-01
2012-01-01;2030.1175;2012-01-01
2013-01-01;2034.1969270833333;2013-01-01
2014-01-01;2053.1726041666666;2014-01-01
2015-01-01;2069.002864583333;2015-01-01
2016-01-01;2076.7408854166665;2016-01-01
2017-01-01;2063.2334375;2017-01-01
2018-01-01;2063.69734375;2018-01-01
2019-01-01;2078.0816145833332;2019-01-01
2020-01-01;2082.9924479166666;2020-01-01
2021-01-01;2062.7121875;2021-01-01
2022-01-01;2067.6028125;2022-01-01
